CityCode,CountryCode,Name,UtcOffset,TimeZoneId,Airports
AMD,IN,,,,{'AirportCode': 'AMD'}
AME,MZ,,,,
AMF,PG,,,,
AMG,PG,,,,
AMH,ET,,,,{'AirportCode': 'AMH'}
AMI,ID,,,,{'AirportCode': 'AMI'}
AMJ,BR,,,,
AML,PA,,,,
AMM,JO,,,,{'AirportCode': 'AMM'}
AMN,US,,,,
AMO,TD,,,,
AMP,MG,,,,
AMQ,ID,,,,
AMR,MH,,,,
AMS,NL,,,,{'AirportCode': 'AMS'}
AMT,AU,,,,
AMU,PG,,,,
AMV,RU,,,,
AMW,US,,,,
AMX,AU,,,,
AMY,MG,,,,
AMZ,NZ,,,,
ANA,US,,,,
ANB,US,,,,
ANC,US,,,,{'AirportCode': 'ANC'}
AND,US,,,,
ANE,FR,,,,
ANF,CL,,,,{'AirportCode': 'ANF'}
ANG,FR,,,,
ANH,SB,,,,
ANI,US,,,,
ANJ,CG,,,,
ANK,TR,,,,{'AirportCode': 'ESB'}
ANL,AO,,,,
ANM,MG,,,,
ANN,US,,,,
ANO,MZ,,,,
ANP,US,,,,
ANQ,US,,,,
ANR,BE,,,,
ANS,PE,,,,
ANT,AT,,,,
ANU,AG,,,,{'AirportCode': 'ANU'}
ANV,US,,,,
ANW,US,,,,
ANX,NO,,,,
ANY,US,,,,
ANZ,AU,,,,
AOA,PG,,,,
AOB,PG,,,,
AOC,DE,,,,
AOD,TD,,,,
AOG,CN,,,,
AOH,US,,,,
AOI,IT,,,,{'AirportCode': 'AOI'}
AOJ,JP,,,,{'AirportCode': 'AOJ'}
AOK,GR,,,,{'AirportCode': 'AOK'}
AOL,AR,,,,
AON,PG,,,,
AOO,US,,,,
AOR,MY,,,,{'AirportCode': 'AOR'}
AOS,US,,,,
AOU,LA,,,,
APB,BO,,,,
APC,US,,,,
APE,PE,,,,
APF,US,,,,
APH,US,,,,
API,CO,,,,
APK,PF,,,,
APL,MZ,,,,{'AirportCode': 'APL'}
APN,US,,,,
APO,CO,,,,
APP,PG,,,,
APQ,BR,,,,
APR,PG,,,,
APS,BR,,,,
APT,US,,,,
APU,BR,,,,
APV,US,,,,
APW,WS,,,,{'AirportCode': 'APW'}
APX,BR,,,,
APY,BR,,,,
APZ,AR,,,,
AQA,BR,,,,
AQG,CN,,,,
AQI,SA,,,,
AQJ,JO,,,,{'AirportCode': 'AQJ'}
AQM,BR,,,,
AQP,PE,,,,{'AirportCode': 'AQP'}
AQS,FJ,,,,
AQY,US,,,,
ARB,US,,,,
ARC,US,,,,
ARD,ID,,,,
ARE,PR,,,,
ARF,CO,,,,
ARG,US,,,,
ARH,RU,,,,{'AirportCode': 'ARH'}
ARI,CL,,,,{'AirportCode': 'ARI'}
ARJ,ID,,,,
ARK,TZ,,,,
ARL,BF,,,,
ARM,AU,,,,
ARO,CO,,,,
ARP,PG,,,,
ARQ,CO,,,,
ARR,AR,,,,
ARS,BR,,,,
ART,US,,,,
ARU,BR,,,,
ARV,US,,,,
ARW,RO,,,,
ARX,US,,,,
ARY,AU,,,,
ARZ,AO,,,,
ASA,ER,,,,
ASB,TM,,,,{'AirportCode': 'ASB'}
ASC,BO,,,,
ASD,BS,,,,
ASE,US,,,,{'AirportCode': 'ASE'}
ASF,RU,,,,{'AirportCode': 'ASF'}
ASG,NZ,,,,
ASH,US,,,,
ASI,SH,,,,
ASJ,JP,,,,
ASK,CI,,,,
ASL,US,,,,
ASM,ER,,,,{'AirportCode': 'ASM'}
ASN,US,,,,
ASO,ET,,,,{'AirportCode': 'ASO'}
ASP,AU,,,,
ASQ,US,,,,
ASR,TR,,,,{'AirportCode': 'ASR'}
AST,US,,,,
ASU,PY,,,,{'AirportCode': 'ASU'}
ASV,KE,,,,
ASW,EG,,,,{'AirportCode': 'ASW'}
ASX,US,,,,
ASY,US,,,,
ASZ,PG,,,,
ATA,PE,,,,
ATB,SD,,,,
ATC,BS,,,,
ATD,SB,,,,
ATE,US,,,,
ATF,EC,,,,
ATG,PK,,,,
ATH,GR,,,,{'AirportCode': 'ATH'}
ATI,UY,,,,
ATJ,MG,,,,
ATK,US,,,,
ATL,US,,,,{'AirportCode': 'ATL'}
ATM,BR,,,,
ATN,PG,,,,
ATO,US,,,,
ATP,PG,,,,
ATQ,IN,,,,{'AirportCode': 'ATQ'}
ATR,MR,,,,
ATS,US,,,,
ATT,US,,,,
ATU,US,,,,
ATV,TD,,,,
ATW,US,,,,{'AirportCode': 'ATW'}
ATX,KZ,,,,
ATY,US,,,,
ATZ,EG,,,,{'AirportCode': 'ATZ'}
AUA,AW,,,,{'AirportCode': 'AUA'}
AUB,BR,,,,
AUC,CO,,,,
AUD,AU,,,,
AUE,EG,,,,
AUG,US,,,,{'AirportCode': 'AGS'}
AUH,AE,,,,{'AirportCode': 'AUH'}
AUI,PG,,,,
AUJ,PG,,,,
AUK,US,,,,
AUL,MH,,,,
AUM,US,,,,
AUN,US,,,,
AUO,US,,,,
AUP,PG,,,,
AUQ,PF,,,,
AUR,FR,,,,
AUS,US,,,,{'AirportCode': 'AUS'}
AUT,ID,,,,
AUU,AU,,,,
AUW,US,,,,"{'AirportCode': ['AUW', 'CWA']}"
AUX,BR,,,,
AUY,VU,,,,
AUZ,US,,,,
AVB,IT,,,,
AVF,FR,,,,
AVG,AU,,,,
AVI,CU,,,,
AVK,MN,,,,
AVL,US,,,,{'AirportCode': 'AVL'}
AVN,FR,,,,
AVO,US,,,,
AVP,US,,,,{'AirportCode': 'AVP'}
AVU,SB,,,,
AVV,AU,,,,
AVX,US,,,,
AWA,ET,,,,{'AirportCode': 'AWA'}
AWB,PG,,,,
AWD,VU,,,,
AWE,GA,,,,
AWH,ET,,,,
AWK,UM,,,,
AWM,US,,,,
AWN,AU,,,,
AWP,AU,,,,
AWR,PG,,,,
AWZ,IR,,,,{'AirportCode': 'AWZ'}
AXA,AI,,,,
AXC,AU,,,,
AXD,GR,,,,{'AirportCode': 'AXD'}
AXG,US,,,,{'AirportCode': 'HDN'}
AXK,YE,,,,
AXL,AU,,,,
AXM,CO,,,,{'AirportCode': 'AXM'}
AXN,US,,,,
AXP,BS,,,,
AXR,PF,,,,
AXT,JP,,,,{'AirportCode': 'AXT'}
AXU,ET,,,,{'AirportCode': 'AXU'}
AXV,US,,,,
AXX,US,,,,
AYA,CO,,,,
AYC,CO,,,,
AYD,AU,,,,
AYE,US,,,,
AYG,CO,,,,
AYH,GB,,,,
AYI,CO,,,,
AYK,KZ,,,,
AYL,AU,,,,
AYN,CN,,,,
AYP,PE,,,,
AYQ,AU,,,,
AYR,AU,,,,
AYS,US,,,,
AYT,TR,,,,{'AirportCode': 'AYT'}
AYU,PG,,,,
AYW,ID,,,,
AYZ,US,,,,
AZB,PG,,,,
AZD,IR,,,,
AZG,MX,,,,
AZN,UZ,,,,
AZO,US,,,,{'AirportCode': 'AZO'}
AZR,DZ,,,,
AZS,DO,,,,{'AirportCode': 'AZS'}
AZT,CO,,,,
AZZ,AO,,,,
BAA,PG,,,,
BAC,CO,,,,
BAE,FR,,,,
BAF,US,,,,
