AirportCode,DepartureAirportCode,ScheduledDepartureLocal,ScheduledDepartureUTC,ActualDepartureLocal,ActualDepartureUTC,DepartureTimeStatus,ArrivalAirportCode,ScheduledArrivalLocal,ScheduledArrivalUTC,ActualArrivalLocal,ActualArrivalUTC,ArrivalTimeStatus,MarketingAirlineID,MarketingFlightNumber,OperatingAirlineID,OperatingFlightNumber,AircraftCode,AircraftRegistration,FlightStatus,ServiceType
JED,JED,2024-06-15T02:10,2024-06-14T23:10Z,,,Flight On Time,MED,2024-06-15T03:15,2024-06-15T00:15Z,,,Flight On Time,SV,1420,SV,1420,330,,No status,Passenger
JED,JED,2024-06-15T02:20,2024-06-14T23:20Z,,,Flight On Time,ELQ,2024-06-15T03:50,2024-06-15T00:50Z,,,Flight On Time,SV,1254,SV,1254,320,,No status,Passenger
JED,JED,2024-06-15T02:20,2024-06-14T23:20Z,,,Flight On Time,GIZ,2024-06-15T04:00,2024-06-15T01:00Z,,,Flight On Time,SV,1781,SV,1781,320,,No status,Passenger
JED,JED,2024-06-15T02:30,2024-06-14T23:30Z,,,Flight On Time,CAI,2024-06-15T04:45,2024-06-15T01:45Z,,,Flight On Time,SV,383,SV,383,330,,No status,Passenger
JED,JED,2024-06-15T02:30,2024-06-14T23:30Z,,,Flight On Time,DAC,2024-06-15T12:10,2024-06-15T06:10Z,,,Flight On Time,SV,808,SV,808,777,,No status,Passenger
JED,JED,2024-06-15T02:40,2024-06-14T23:40Z,,,Flight On Time,AHB,2024-06-15T04:05,2024-06-15T01:05Z,,,Flight On Time,SV,1642,SV,1642,320,,No status,Passenger
JED,JED,2024-06-15T03:05,2024-06-15T00:05Z,,,Flight On Time,DMM,2024-06-15T05:15,2024-06-15T02:15Z,,,Flight On Time,SV,1130,SV,1130,321,,No status,Passenger
JFK,JFK,2024-06-14T21:50,2024-06-15T01:50Z,2024-06-15T00:24,2024-06-15T04:24Z,Flight Delayed,FRA,2024-06-15T11:45,2024-06-15T09:45Z,2024-06-15T14:00,2024-06-15T12:00Z,Flight Delayed,LH,405,LH,405,343,DAIGZ,Flight Landed,Passenger
JFK,JFK,2024-06-15T00:20,2024-06-15T04:20Z,,,Flight On Time,IST,2024-06-15T17:15,2024-06-15T14:15Z,,,Flight On Time,TK,012,TK,012,77W,,No status,Passenger
JFK,JFK,2024-06-15T01:20,2024-06-15T05:20Z,,,Flight On Time,DOH,2024-06-15T20:40,2024-06-15T17:40Z,2024-06-15T20:23,2024-06-15T17:23Z,Flight Early,QR,706,QR,706,359,A7ALQ,Flight Landed,Passenger
