AirportCode,DepartureAirportCode,ScheduledDepartureLocal,ScheduledDepartureUTC,ActualDepartureLocal,ActualDepartureUTC,DepartureTimeStatus,ArrivalAirportCode,ScheduledArrivalLocal,ScheduledArrivalUTC,ActualArrivalLocal,ActualArrivalUTC,ArrivalTimeStatus,MarketingAirlineID,MarketingFlightNumber,OperatingAirlineID,OperatingFlightNumber,AircraftCode,AircraftRegistration,FlightStatus,ServiceType
ADB,ADB,2024-06-10T01:30,2024-06-09T22:30Z,2024-06-10T01:40,2024-06-09T22:40Z,Flight On Time,PRN,2024-06-10T02:05,2024-06-10T00:05Z,2024-06-10T02:04,2024-06-10T00:04Z,Flight Early,XQ,822,XQ,822,73H,TCSPM,Flight Landed,Passenger
ADB,ADB,2024-06-10T02:30,2024-06-09T23:30Z,2024-06-10T02:24,2024-06-09T23:24Z,Flight Early,HAJ,2024-06-10T04:50,2024-06-10T02:50Z,2024-06-10T04:37,2024-06-10T02:37Z,Flight Early,XQ,994,XQ,994,7M8,TCSMJ,Flight Landed,Passenger
ADB,ADB,2024-06-10T03:50,2024-06-10T00:50Z,2024-06-10T03:48,2024-06-10T00:48Z,Flight Early,DTM,2024-06-10T06:10,2024-06-10T04:10Z,2024-06-10T06:07,2024-06-10T04:07Z,Flight Early,XQ,936,XQ,936,73H,TCSOF,Flight Landed,Passenger
ADB,ADB,2024-06-10T03:50,2024-06-10T00:50Z,2024-06-10T03:50,2024-06-10T00:50Z,Flight On Time,DUS,2024-06-10T06:15,2024-06-10T04:15Z,2024-06-10T06:07,2024-06-10T04:07Z,Flight Early,XQ,988,XQ,988,73H,TCSPI,Flight Landed,Passenger
ADB,ADB,2024-06-10T04:00,2024-06-10T01:00Z,2024-06-10T04:00,2024-06-10T01:00Z,Flight On Time,SCN,2024-06-10T06:15,2024-06-10T04:15Z,2024-06-10T06:14,2024-06-10T04:14Z,Flight Early,XQ,864,XQ,864,73H,TCSNN,Flight Landed,Passenger
ADD,ADD,2024-06-10T00:05,2024-06-09T21:05Z,,,Flight On Time,FRA,2024-06-10T06:25,2024-06-10T04:25Z,2024-06-10T06:18,2024-06-10T04:18Z,Flight Early,ET,706,ET,706,359,ETAZI,Flight Landed,Passenger
ADD,ADD,2024-06-10T00:05,2024-06-09T21:05Z,,,Flight On Time,CDG,2024-06-10T06:45,2024-06-10T04:45Z,,,Flight On Time,ET,734,ET,734,789,,No status,Passenger
ADD,ADD,2024-06-10T00:35,2024-06-09T21:35Z,,,Flight On Time,VIE,2024-06-10T05:55,2024-06-10T03:55Z,2024-06-10T06:22,2024-06-10T04:22Z,Flight Delayed,ET,724,ET,724,77L,WILAD,Flight Landed,Passenger
AGP,AGP,2024-06-10T01:15,2024-06-09T23:15Z,,,Flight On Time,HEL,2024-06-10T06:45,2024-06-10T03:45Z,,,Flight On Time,AY,1676,AY,1676,32B,,No status,Passenger
AHB,AHB,2024-06-10T00:05,2024-06-09T21:05Z,,,Flight On Time,JED,2024-06-10T01:25,2024-06-09T22:25Z,,,Flight On Time,SV,1621,SV,1621,320,,No status,Passenger
AHB,AHB,2024-06-10T01:45,2024-06-09T22:45Z,,,Flight On Time,JED,2024-06-10T03:05,2024-06-10T00:05Z,,,Flight On Time,SV,1643,SV,1643,320,,No status,Passenger
ALA,ALA,2024-06-10T03:50,2024-06-09T22:50Z,2024-06-10T03:59,2024-06-09T22:59Z,Flight On Time,FRA,2024-06-10T08:55,2024-06-10T06:55Z,2024-06-10T08:35,2024-06-10T06:35Z,Flight Early,LH,651,LH,651,333,DAIKI,Flight Landed,Passenger
ALG,ALG,2024-06-10T01:50,2024-06-10T00:50Z,2024-06-10T01:40,2024-06-10T00:40Z,Flight Early,FRA,2024-06-10T05:30,2024-06-10T03:30Z,2024-06-10T05:06,2024-06-10T03:06Z,Flight Early,LH,1319,LH,1319,319,DAILD,Flight Landed,Passenger
AMM,AMM,2024-06-10T03:45,2024-06-10T00:45Z,2024-06-10T04:14,2024-06-10T01:14Z,Flight Delayed,FRA,2024-06-10T07:30,2024-06-10T05:30Z,2024-06-10T07:41,2024-06-10T05:41Z,Flight Delayed,LH,693,LH,693,320,DAIZA,Flight Landed,Passenger
ASR,ASR,2024-06-10T03:25,2024-06-10T00:25Z,2024-06-10T03:25,2024-06-10T00:25Z,Flight On Time,DUS,2024-06-10T06:30,2024-06-10T04:30Z,2024-06-10T06:19,2024-06-10T04:19Z,Flight Early,XQ,798,XQ,798,73H,TCSOY,Flight Landed,Passenger
ATH,ATH,2024-06-09T23:55,2024-06-09T20:55Z,2024-06-10T01:41,2024-06-09T22:41Z,Flight Delayed,CAI,2024-06-10T01:50,2024-06-09T22:50Z,2024-06-10T03:29,2024-06-10T00:29Z,Flight Delayed,A3,930,A3,930,321,SXNAC,Flight Landed,Passenger
AUH,AUH,2024-06-10T02:10,2024-06-09T22:10Z,,,Flight On Time,FRA,2024-06-10T06:55,2024-06-10T04:55Z,2024-06-10T07:01,2024-06-10T05:01Z,Flight On Time,EY,121,EY,121,789,A6BLN,Flight Landed,Passenger
AUH,AUH,2024-06-10T02:30,2024-06-09T22:30Z,,,Flight On Time,MUC,2024-06-10T07:00,2024-06-10T05:00Z,2024-06-10T06:45,2024-06-10T04:45Z,Flight Early,EY,125,EY,125,789,A6BLG,Flight Landed,Passenger
AUH,AUH,2024-06-10T03:05,2024-06-09T23:05Z,,,Flight On Time,ORD,2024-06-10T08:50,2024-06-10T13:50Z,,,Flight On Time,EY,151,EY,151,351,,No status,Passenger
AUH,AUH,2024-06-10T03:15,2024-06-09T23:15Z,,,Flight On Time,CAI,2024-06-10T06:10,2024-06-10T03:10Z,,,Flight On Time,EY,657,EY,657,320,,No status,Passenger
AYT,AYT,2024-06-09T23:30,2024-06-09T20:30Z,2024-06-10T00:09,2024-06-09T21:09Z,Flight Delayed,NUE,2024-06-10T01:55,2024-06-09T23:55Z,2024-06-10T02:49,2024-06-10T00:49Z,Flight Delayed,XQ,166,XQ,166,73H,TCSPJ,Flight Landed,Passenger
AYT,AYT,2024-06-09T23:45,2024-06-09T20:45Z,2024-06-10T00:22,2024-06-09T21:22Z,Flight Delayed,NUE,2024-06-10T02:10,2024-06-10T00:10Z,,,Flight Delayed,XQ,164,XQ,164,7M8,TCSOI,Flight Departed,Passenger
AYT,AYT,2024-06-09T23:45,2024-06-09T20:45Z,2024-06-10T00:13,2024-06-09T21:13Z,Flight Delayed,FMO,2024-06-10T02:45,2024-06-10T00:45Z,2024-06-10T03:26,2024-06-10T01:26Z,Flight Delayed,XQ,256,XQ,256,7M8,TCSMA,Flight Landed,Passenger
AYT,AYT,2024-06-09T23:50,2024-06-09T20:50Z,2024-06-10T00:29,2024-06-09T21:29Z,Flight Delayed,HAJ,2024-06-10T02:45,2024-06-10T00:45Z,2024-06-10T03:27,2024-06-10T01:27Z,Flight Delayed,XQ,230,XQ,230,7M8,TCSMN,Flight Landed,Passenger
AYT,AYT,2024-06-09T23:55,2024-06-09T20:55Z,2024-06-10T00:17,2024-06-09T21:17Z,Flight Delayed,CGN,2024-06-10T02:55,2024-06-10T00:55Z,2024-06-10T03:28,2024-06-10T01:28Z,Flight Delayed,XQ,112,XQ,112,73H,TCSPA,Flight Landed,Passenger
AYT,AYT,2024-06-09T23:55,2024-06-09T20:55Z,2024-06-10T00:40,2024-06-09T21:40Z,Flight Delayed,HAJ,2024-06-10T02:50,2024-06-10T00:50Z,2024-06-10T03:37,2024-06-10T01:37Z,Flight Delayed,XQ,232,XQ,232,73H,YRHLB,Flight Landed,Passenger
AYT,AYT,2024-06-10T03:45,2024-06-10T00:45Z,,,Flight On Time,HEL,2024-06-10T07:55,2024-06-10T04:55Z,,,Flight On Time,AY,1942,AY,1942,319,,No status,Passenger
BEY,BEY,2024-06-10T03:55,2024-06-10T00:55Z,2024-06-10T04:09,2024-06-10T01:09Z,Flight On Time,FRA,2024-06-10T07:15,2024-06-10T05:15Z,2024-06-10T07:23,2024-06-10T05:23Z,Flight On Time,LH,1303,LH,1303,32Q,DAIEO,Flight Landed,Passenger
BJV,BJV,2024-06-10T00:50,2024-06-09T21:50Z,2024-06-10T00:45,2024-06-09T21:45Z,Flight Early,CGN,2024-06-10T03:25,2024-06-10T01:25Z,2024-06-10T03:06,2024-06-10T01:06Z,Flight Early,XQ,600,XQ,600,73H,TCSEZ,Flight Landed,Passenger
BKK,BKK,2024-06-10T00:50,2024-06-09T17:50Z,2024-06-10T01:50,2024-06-09T18:50Z,Flight Delayed,MUC,2024-06-10T07:05,2024-06-10T05:05Z,2024-06-10T08:19,2024-06-10T06:19Z,Flight Delayed,TG,924,TG,924,359,HSTHF,Flight Landed,Passenger
BLR,BLR,2024-06-10T03:00,2024-06-09T21:30Z,2024-06-10T03:35,2024-06-09T22:05Z,Flight Delayed,FRA,2024-06-10T09:00,2024-06-10T07:00Z,2024-06-10T09:29,2024-06-10T07:29Z,Flight Delayed,LH,755,LH,755,74H,DABYI,Flight Landed,Passenger
BOM,BOM,2024-06-10T00:55,2024-06-09T19:25Z,2024-06-10T01:36,2024-06-09T20:06Z,Flight Delayed,MUC,2024-06-10T05:55,2024-06-10T03:55Z,2024-06-10T07:00,2024-06-10T05:00Z,Flight Delayed,LH,767,LH,767,346,DAIHF,Flight Landed,Passenger
BOM,BOM,2024-06-10T00:55,2024-06-09T19:25Z,2024-06-10T00:58,2024-06-09T19:28Z,Flight On Time,ZRH,2024-06-10T06:15,2024-06-10T04:15Z,2024-06-10T06:24,2024-06-10T04:24Z,Flight On Time,LX,155,LX,155,333,HBJHH,Flight Landed,Passenger
BOM,BOM,2024-06-10T02:20,2024-06-09T20:50Z,,,Flight On Time,JED,2024-06-10T05:00,2024-06-10T02:00Z,,,Flight On Time,SV,3651,SV,3651,333,,No status,Passenger
BOM,BOM,2024-06-10T02:45,2024-06-09T21:15Z,2024-06-10T03:45,2024-06-09T22:15Z,Flight Delayed,FRA,2024-06-10T08:10,2024-06-10T06:10Z,2024-06-10T08:59,2024-06-10T06:59Z,Flight Delayed,LH,757,LH,757,744,DABTK,Flight Landed,Passenger
CAI,CAI,2024-06-10T00:55,2024-06-09T21:55Z,,,Flight On Time,JED,2024-06-10T03:15,2024-06-10T00:15Z,,,Flight On Time,SV,386,SV,386,330,,No status,Passenger
CAI,CAI,2024-06-10T02:05,2024-06-09T23:05Z,,,Flight On Time,DOH,2024-06-10T05:10,2024-06-10T02:10Z,,,Flight On Time,QR,1306,QR,1306,332,,No status,Passenger
CAI,CAI,2024-06-10T03:10,2024-06-10T00:10Z,2024-06-10T03:31,2024-06-10T00:31Z,Flight Delayed,ZRH,2024-06-10T06:30,2024-06-10T04:30Z,2024-06-10T06:34,2024-06-10T04:34Z,Flight Delayed,LX,239,LX,239,32N,HBJDD,Flight Landed,Passenger
CAI,CAI,2024-06-10T03:25,2024-06-10T00:25Z,2024-06-10T03:42,2024-06-10T00:42Z,Flight Delayed,MUC,2024-06-10T06:25,2024-06-10T04:25Z,2024-06-10T06:23,2024-06-10T04:23Z,Flight Early,LH,587,LH,587,32N,DAINQ,Flight Landed,Passenger
CAI,CAI,2024-06-10T03:45,2024-06-10T00:45Z,,,Flight On Time,JED,2024-06-10T06:05,2024-06-10T03:05Z,,,Flight On Time,SV,308,SV,308,330,,No status,Passenger
CAI,CAI,2024-06-10T04:00,2024-06-10T01:00Z,2024-06-10T04:18,2024-06-10T01:18Z,Flight Delayed,ATH,2024-06-10T06:00,2024-06-10T03:00Z,2024-06-10T05:05,2024-06-10T02:05Z,Flight Early,A3,931,A3,931,321,SXNAC,Flight Landed,Passenger
CDG,CDG,2024-06-10T00:45,2024-06-09T22:45Z,,,Flight On Time,TLV,2024-06-10T06:05,2024-06-10T03:05Z,,,Flight On Time,LY,1326,LY,1326,789,,No status,Passenger
CGK,CGK,2024-06-10T00:40,2024-06-09T17:40Z,,,Flight On Time,JED,2024-06-10T06:25,2024-06-10T03:25Z,,,Flight On Time,SV,827,SV,827,773,,No status,Passenger
CGK,CGK,2024-06-10T02:45,2024-06-09T19:45Z,,,Flight On Time,JED,2024-06-10T08:10,2024-06-10T05:10Z,,,Flight On Time,SV,5269,SV,5269,773,,No status,Passenger
CGK,CGK,2024-06-10T03:45,2024-06-09T20:45Z,,,Flight On Time,JED,2024-06-10T09:10,2024-06-10T06:10Z,,,Flight On Time,SV,5187,SV,5187,773,,No status,Passenger
CGN,CGN,2024-06-09T23:15,2024-06-09T21:15Z,2024-06-10T00:18,2024-06-09T22:18Z,Flight Delayed,NDR,2024-06-10T01:15,2024-06-10T00:15Z,2024-06-10T02:40,2024-06-10T01:40Z,Flight Delayed,EW,384,EW,384,73H,OKTVT,Flight Landed,Passenger
CGN,CGN,2024-06-10T00:20,2024-06-09T22:20Z,2024-06-10T00:39,2024-06-09T22:39Z,Flight Delayed,ADB,2024-06-10T04:30,2024-06-10T01:30Z,2024-06-10T04:56,2024-06-10T01:56Z,Flight Delayed,XQ,983,XQ,983,7M8,TCSOJ,Flight Landed,Passenger
CGN,CGN,2024-06-10T00:40,2024-06-09T22:40Z,2024-06-10T02:24,2024-06-10T00:24Z,Flight Delayed,AYT,2024-06-10T05:15,2024-06-10T02:15Z,2024-06-10T07:01,2024-06-10T04:01Z,Flight Delayed,XQ,117,XQ,117,73H,TCSEY,Flight Landed,Passenger
CGN,CGN,2024-06-10T01:30,2024-06-09T23:30Z,2024-06-10T01:34,2024-06-09T23:34Z,Flight On Time,AYT,2024-06-10T06:05,2024-06-10T03:05Z,2024-06-10T06:11,2024-06-10T03:11Z,Flight On Time,XQ,119,XQ,119,73H,TCSOO,Flight Landed,Passenger
CGN,CGN,2024-06-10T02:45,2024-06-10T00:45Z,2024-06-10T02:47,2024-06-10T00:47Z,Flight On Time,AYT,2024-06-10T07:20,2024-06-10T04:20Z,2024-06-10T07:25,2024-06-10T04:25Z,Flight On Time,XQ,115,XQ,115,7M8,TCSMF,Flight Landed,Passenger
CGN,CGN,2024-06-10T03:45,2024-06-10T01:45Z,2024-06-10T03:45,2024-06-10T01:45Z,Flight On Time,AYT,2024-06-10T08:20,2024-06-10T05:20Z,2024-06-10T08:34,2024-06-10T05:34Z,Flight On Time,XQ,113,XQ,113,73H,TCSON,Flight Landed,Passenger
CGN,CGN,2024-06-10T03:45,2024-06-10T01:45Z,2024-06-10T04:51,2024-06-10T02:51Z,Flight Delayed,ESB,2024-06-10T08:15,2024-06-10T05:15Z,,,Flight Delayed,XQ,787,XQ,787,73H,TCSPA,Flight Departed,Passenger
CMN,CMN,2024-06-10T01:15,2024-06-10T00:15Z,2024-06-10T02:12,2024-06-10T01:12Z,Flight Delayed,FRA,2024-06-10T05:40,2024-06-10T03:40Z,2024-06-10T06:21,2024-06-10T04:21Z,Flight Delayed,LH,1331,LH,1331,32V,DAIWH,Flight Landed,Passenger
CPH,CPH,2024-06-10T01:20,2024-06-09T23:20Z,,,Flight On Time,AYT,2024-06-10T06:00,2024-06-10T03:00Z,2024-06-10T06:38,2024-06-10T03:38Z,Flight Delayed,XQ,573,XQ,573,73H,TCSPE,Flight Landed,Passenger
DEL,DEL,2024-06-10T01:10,2024-06-09T19:40Z,2024-06-10T01:19,2024-06-09T19:49Z,Flight On Time,ZRH,2024-06-10T06:20,2024-06-10T04:20Z,2024-06-10T06:30,2024-06-10T04:30Z,Flight On Time,LX,147,LX,147,333,HBJHA,Flight Landed,Passenger
DEL,DEL,2024-06-10T01:20,2024-06-09T19:50Z,2024-06-10T01:21,2024-06-09T19:51Z,Flight On Time,MUC,2024-06-10T06:15,2024-06-10T04:15Z,2024-06-10T06:24,2024-06-10T04:24Z,Flight On Time,LH,763,LH,763,346,DAIHI,Flight Landed,Passenger
DEL,DEL,2024-06-10T02:50,2024-06-09T21:20Z,2024-06-10T03:41,2024-06-09T22:11Z,Flight Delayed,FRA,2024-06-10T08:15,2024-06-10T06:15Z,2024-06-10T09:37,2024-06-10T07:37Z,Flight Delayed,LH,761,LH,761,343,DAIGO,Flight Landed,Passenger
DIY,DIY,2024-06-10T03:30,2024-06-10T00:30Z,2024-06-10T03:24,2024-06-10T00:24Z,Flight Early,DUS,2024-06-10T07:00,2024-06-10T05:00Z,2024-06-10T07:01,2024-06-10T05:01Z,Flight On Time,XQ,1360,XQ,1360,73H,TCSPD,Flight Landed,Passenger
DMM,DMM,2024-06-10T02:00,2024-06-09T23:00Z,,,Flight On Time,JED,2024-06-10T04:15,2024-06-10T01:15Z,,,Flight On Time,SV,1131,SV,1131,321,,No status,Passenger
DMM,DMM,2024-06-10T04:00,2024-06-10T01:00Z,,,Flight On Time,JED,2024-06-10T06:15,2024-06-10T03:15Z,,,Flight On Time,SV,1127,SV,1127,321,,No status,Passenger
DOH,DOH,2024-06-10T01:20,2024-06-09T22:20Z,,,Flight On Time,MAN,2024-06-10T06:45,2024-06-10T05:45Z,,,Flight On Time,QR,021,QR,021,789,,No status,Passenger
DOH,DOH,2024-06-10T01:20,2024-06-09T22:20Z,,,Flight On Time,IAD,2024-06-10T08:45,2024-06-10T12:45Z,,,Flight On Time,QR,709,QR,709,77W,,No status,Passenger
DOH,DOH,2024-06-10T01:45,2024-06-09T22:45Z,,,Flight On Time,JFK,2024-06-10T09:00,2024-06-10T13:00Z,,,Flight On Time,QR,703,QR,703,77W,,No status,Passenger
DOH,DOH,2024-06-10T02:10,2024-06-09T23:10Z,,,Flight On Time,VIE,2024-06-10T07:00,2024-06-10T05:00Z,2024-06-10T06:47,2024-06-10T04:47Z,Flight Early,QR,189,QR,189,788,A7BCH,Flight Landed,Passenger
DXB,DXB,2024-06-10T00:50,2024-06-09T20:50Z,2024-06-10T00:47,2024-06-09T20:47Z,Flight Early,FRA,2024-06-10T05:40,2024-06-10T03:40Z,2024-06-10T05:27,2024-06-10T03:27Z,Flight Early,LH,631,LH,631,333,DAIKM,Flight Landed,Passenger
DXB,DXB,2024-06-10T01:15,2024-06-09T21:15Z,2024-06-10T01:21,2024-06-09T21:21Z,Flight On Time,ZRH,2024-06-10T06:10,2024-06-10T04:10Z,2024-06-10T06:09,2024-06-10T04:09Z,Flight Early,LX,243,LX,243,333,HBJHD,Flight Landed,Passenger
EBB,EBB,2024-06-09T23:25,2024-06-09T20:25Z,2024-06-10T00:03,2024-06-09T21:03Z,Flight Delayed,BRU,2024-06-10T06:45,2024-06-10T04:45Z,2024-06-10T07:03,2024-06-10T05:03Z,Flight Delayed,SN,455,SN,455,333,OOSFG,Flight Landed,Passenger
EZS,EZS,2024-06-10T03:30,2024-06-10T00:30Z,2024-06-10T03:16,2024-06-10T00:16Z,Flight Early,DUS,2024-06-10T06:50,2024-06-10T04:50Z,2024-06-10T06:35,2024-06-10T04:35Z,Flight Early,XQ,734,XQ,734,73H,TCSPH,Flight Landed,Passenger
FMO,FMO,2024-06-10T00:10,2024-06-09T22:10Z,2024-06-10T00:32,2024-06-09T22:32Z,Flight Delayed,AYT,2024-06-10T04:45,2024-06-10T01:45Z,2024-06-10T05:10,2024-06-10T02:10Z,Flight Delayed,XQ,251,XQ,251,7M8,TCSMI,Flight Landed,Passenger
FMO,FMO,2024-06-10T01:50,2024-06-09T23:50Z,2024-06-10T03:00,2024-06-10T01:00Z,Flight Delayed,AYT,2024-06-10T06:25,2024-06-10T03:25Z,2024-06-10T07:45,2024-06-10T04:45Z,Flight Delayed,XQ,255,XQ,255,73H,TCTLI,Flight Landed,Passenger
FMO,FMO,2024-06-10T03:40,2024-06-10T01:40Z,2024-06-10T04:23,2024-06-10T02:23Z,Flight Delayed,AYT,2024-06-10T08:15,2024-06-10T05:15Z,2024-06-10T09:06,2024-06-10T06:06Z,Flight Delayed,XQ,257,XQ,257,7M8,TCSMA,Flight Landed,Passenger
GZT,GZT,2024-06-10T03:35,2024-06-10T00:35Z,2024-06-10T03:46,2024-06-10T00:46Z,Flight On Time,STR,2024-06-10T06:35,2024-06-10T04:35Z,2024-06-10T06:40,2024-06-10T04:40Z,Flight On Time,XQ,704,XQ,704,73H,TCSEJ,Flight Landed,Passenger
HAJ,HAJ,2024-06-10T00:10,2024-06-09T22:10Z,2024-06-10T00:45,2024-06-09T22:45Z,Flight Delayed,ADB,2024-06-10T04:15,2024-06-10T01:15Z,2024-06-10T04:40,2024-06-10T01:40Z,Flight Delayed,XQ,975,XQ,975,73H,TCSPY,Flight Landed,Passenger
HAJ,HAJ,2024-06-10T01:40,2024-06-09T23:40Z,2024-06-10T01:44,2024-06-09T23:44Z,Flight On Time,AYT,2024-06-10T06:10,2024-06-10T03:10Z,2024-06-10T06:20,2024-06-10T03:20Z,Flight On Time,XQ,235,XQ,235,73H,TCSPR,Flight Landed,Passenger
HAJ,HAJ,2024-06-10T03:35,2024-06-10T01:35Z,2024-06-10T04:17,2024-06-10T02:17Z,Flight Delayed,AYT,2024-06-10T08:05,2024-06-10T05:05Z,2024-06-10T08:59,2024-06-10T05:59Z,Flight Delayed,XQ,231,XQ,231,7M8,TCSMN,Flight Landed,Passenger
HAJ,HAJ,2024-06-10T03:40,2024-06-10T01:40Z,2024-06-10T04:36,2024-06-10T02:36Z,Flight Delayed,AYT,2024-06-10T08:10,2024-06-10T05:10Z,2024-06-10T09:20,2024-06-10T06:20Z,Flight Delayed,XQ,233,XQ,233,73H,YRHLB,Flight Landed,Passenger
HEL,HEL,2024-06-10T00:05,2024-06-09T21:05Z,,,Flight On Time,VAA,2024-06-10T01:05,2024-06-09T22:05Z,,,Flight On Time,AY,321,AY,321,AT7,,No status,Passenger
HEL,HEL,2024-06-10T00:20,2024-06-09T21:20Z,,,Flight On Time,TLL,2024-06-10T00:55,2024-06-09T21:55Z,,,Flight On Time,AY,1035,AY,1035,E90,,No status,Passenger
HEL,HEL,2024-06-10T00:25,2024-06-09T21:25Z,,,Flight On Time,SIN,2024-06-10T18:35,2024-06-10T10:35Z,,,Flight On Time,AY,131,AY,131,359,,No status,Passenger
HEL,HEL,2024-06-10T00:35,2024-06-09T21:35Z,,,Flight On Time,HKG,2024-06-10T17:45,2024-06-10T09:45Z,,,Flight On Time,AY,099,AY,099,359,,No status,Passenger
HKG,HKG,2024-06-10T02:00,2024-06-09T18:00Z,,,Flight On Time,JFK,2024-06-10T06:00,2024-06-10T10:00Z,,,Flight On Time,CX,844,CX,844,351,,No status,Passenger
HYD,HYD,2024-06-10T03:10,2024-06-09T21:40Z,2024-06-10T03:18,2024-06-09T21:48Z,Flight On Time,FRA,2024-06-10T08:50,2024-06-10T06:50Z,2024-06-10T09:11,2024-06-10T07:11Z,Flight Delayed,LH,753,LH,753,78S,DABPD,Flight Landed,Passenger
IAD,IAD,2024-06-09T22:20,2024-06-10T02:20Z,2024-06-10T00:12,2024-06-10T04:12Z,Flight Delayed,MUC,2024-06-10T12:20,2024-06-10T10:20Z,2024-06-10T14:08,2024-06-10T12:08Z,Flight Delayed,LH,415,LH,415,388,DAIMN,Flight Landed,Passenger
IBZ,IBZ,2024-06-09T22:50,2024-06-09T20:50Z,2024-06-10T02:39,2024-06-10T00:39Z,Flight Delayed,CGN,2024-06-10T01:20,2024-06-09T23:20Z,2024-06-10T05:13,2024-06-10T03:13Z,Flight Delayed,EW,547,EW,547,73H,OKTSO,Flight Landed,Passenger
IKA,IKA,2024-06-10T02:40,2024-06-09T23:10Z,2024-06-10T05:20,2024-06-10T01:50Z,Flight Delayed,VIE,2024-06-10T05:55,2024-06-10T03:55Z,2024-06-10T08:27,2024-06-10T06:27Z,Flight Delayed,OS,872,OS,872,321,OELBF,Flight Landed,Passenger
JED,JED,2024-06-10T00:15,2024-06-09T21:15Z,,,Flight On Time,CAI,2024-06-10T02:30,2024-06-09T23:30Z,,,Flight On Time,SV,309,SV,309,330,,No status,Passenger
JED,JED,2024-06-10T00:35,2024-06-09T21:35Z,,,Flight On Time,DXB,2024-06-10T04:35,2024-06-10T00:35Z,,,Flight On Time,SV,590,SV,590,789,,No status,Passenger
JED,JED,2024-06-10T01:00,2024-06-09T22:00Z,,,Flight On Time,RUH,2024-06-10T02:50,2024-06-09T23:50Z,,,Flight On Time,SV,1056,SV,1056,330,,No status,Passenger
JED,JED,2024-06-10T01:00,2024-06-09T22:00Z,,,Flight On Time,DMM,2024-06-10T03:10,2024-06-10T00:10Z,,,Flight On Time,SV,1128,SV,1128,321,,No status,Passenger
JED,JED,2024-06-10T01:05,2024-06-09T22:05Z,,,Flight On Time,NBO,2024-06-10T05:05,2024-06-10T02:05Z,,,Flight On Time,SV,435,SV,435,330,,No status,Passenger
JED,JED,2024-06-10T01:20,2024-06-09T22:20Z,,,Flight On Time,PKX,2024-06-10T16:50,2024-06-10T08:50Z,,,Flight On Time,SV,886,SV,886,789,,No status,Passenger
JED,JED,2024-06-10T01:30,2024-06-09T22:30Z,,,Flight On Time,KHI,2024-06-10T07:30,2024-06-10T02:30Z,,,Flight On Time,SV,700,SV,700,330,,No status,Passenger
JED,JED,2024-06-10T01:30,2024-06-09T22:30Z,,,Flight On Time,BKK,2024-06-10T13:45,2024-06-10T06:45Z,,,Flight On Time,SV,844,SV,844,787,,No status,Passenger
JED,JED,2024-06-10T01:40,2024-06-09T22:40Z,,,Flight On Time,ADD,2024-06-10T04:10,2024-06-10T01:10Z,,,Flight On Time,SV,421,SV,421,333,,No status,Passenger
JED,JED,2024-06-10T01:50,2024-06-09T22:50Z,,,Flight On Time,ISB,2024-06-10T09:00,2024-06-10T04:00Z,,,Flight On Time,SV,722,SV,722,773,,No status,Passenger
JED,JED,2024-06-10T01:50,2024-06-09T22:50Z,,,Flight On Time,BOM,2024-06-10T09:25,2024-06-10T03:55Z,,,Flight On Time,SV,770,SV,770,333,,No status,Passenger
JED,JED,2024-06-10T01:50,2024-06-09T22:50Z,,,Flight On Time,CGK,2024-06-10T16:00,2024-06-10T09:00Z,,,Flight On Time,SV,818,SV,818,777,,No status,Passenger
JED,JED,2024-06-10T01:55,2024-06-09T22:55Z,,,Flight On Time,KUL,2024-06-10T15:55,2024-06-10T07:55Z,,,Flight On Time,SV,834,SV,834,789,,No status,Passenger
JED,JED,2024-06-10T02:05,2024-06-09T23:05Z,,,Flight On Time,PEW,2024-06-10T09:15,2024-06-10T04:15Z,,,Flight On Time,SV,796,SV,796,333,,No status,Passenger
JED,JED,2024-06-10T02:05,2024-06-09T23:05Z,,,Flight On Time,TUU,2024-06-10T03:40,2024-06-10T00:40Z,,,Flight On Time,SV,1547,SV,1547,320,,No status,Passenger
JED,JED,2024-06-10T02:10,2024-06-09T23:10Z,,,Flight On Time,LHE,2024-06-10T09:05,2024-06-10T04:05Z,,,Flight On Time,SV,734,SV,734,773,,No status,Passenger
JED,JED,2024-06-10T02:10,2024-06-09T23:10Z,,,Flight On Time,MED,2024-06-10T03:15,2024-06-10T00:15Z,,,Flight On Time,SV,1420,SV,1420,333,,No status,Passenger
JED,JED,2024-06-10T02:20,2024-06-09T23:20Z,,,Flight On Time,ELQ,2024-06-10T03:50,2024-06-10T00:50Z,,,Flight On Time,SV,1254,SV,1254,320,,No status,Passenger
JED,JED,2024-06-10T02:20,2024-06-09T23:20Z,,,Flight On Time,GIZ,2024-06-10T04:00,2024-06-10T01:00Z,,,Flight On Time,SV,1781,SV,1781,320,,No status,Passenger
JED,JED,2024-06-10T02:30,2024-06-09T23:30Z,,,Flight On Time,CAI,2024-06-10T04:45,2024-06-10T01:45Z,,,Flight On Time,SV,383,SV,383,330,,No status,Passenger
JFK,JFK,2024-06-10T00:20,2024-06-10T04:20Z,,,Flight On Time,IST,2024-06-10T17:15,2024-06-10T14:15Z,,,Flight On Time,TK,012,TK,012,333,,No status,Passenger
JFK,JFK,2024-06-10T01:20,2024-06-10T05:20Z,,,Flight On Time,UIO,2024-06-10T06:40,2024-06-10T11:40Z,,,Flight On Time,AV,7397,AV,7397,320,,No status,Passenger
