,CityCode,Name,CountryCode,AirportCode,LocationType,Longitude,Latitude
87,AVP,Scranton - Pennsylvania,US,AVP,Airport,-75.7233,41.3386
88,AWA,AWASA,ET,AWA,Airport,38.4906,7.0675
89,AWZ,AHWAZ,IR,AWZ,Airport,48.7603,31.3375
90,AXD,Alexandroupolis,GR,AXD,Airport,25.9564,40.8558
91,AXM,Armenia,CO,AXM,Airport,-75.7664,4.4528
92,AXT,Akita,JP,AXT,Airport,140.2186,39.6156
93,AXU,Axum,ET,AXU,Airport,38.7728,14.1467
94,AYT,Antalya,TR,AYT,Airport,30.8006,36.8986
95,AZO,Kalamazoo/Battle Creek,US,AZO,Airport,-85.5519,42.235
96,AZS,SAMANA EL CATEY INTL,DO,AZS,Airport,-69.7422,19.2672
97,BAH,Bahrain International,BH,BAH,Airport,50.6336,26.2708
98,BAL,Batman,TR,BAL,Airport,41.1167,37.9289
99,BAQ,Barranquilla,CO,BAQ,Airport,-74.7808,10.8897
100,BAV,Baotou,CN,BAV,Airport,109.9964,40.5606
101,BBA,Balmaceda,CL,BBA,Airport,-71.6894,-45.9161
102,BBI,Bhubaneshwar,IN,BBI,Airport,85.8178,20.2444
103,BBK,Kasane,BW,BBK,Airport,25.1625,-17.8328
104,BBO,Berbera,SO,BBO,Airport,44.9411,10.3892
105,BCN,Barcelona,ES,BCN,Airport,2.0783,41.2969
106,BCO,JINKA BAKO,ET,BCO,Airport,36.5625,5.7839
107,BDA,Bermuda - Kindley Field,BM,BDA,Airport,-64.6786,32.3642
108,HFD,"Hartford - Bradley International, CT",US,BDL,Airport,-72.6833,41.9389
109,BDO,Bandung,ID,BDO,Airport,107.5764,-6.9006
110,BDQ,Vadodara,IN,BDQ,Airport,73.2264,22.3361
111,BDS,Brindisi,IT,BDS,Airport,17.9481,40.6606
112,BEG,Belgrade,RS,BEG,Airport,20.3092,44.8183
113,BEL,Belem,BR,BEL,Airport,-48.4764,-1.3792
114,BER,Berlin/Brandenburg,DE,BER,Airport,13.5033,52.3667
115,BET,Bethel Municipal,US,BET,Airport,-161.8381,60.7797
116,BEW,Beira,MZ,BEW,Airport,34.9075,-19.7964
117,BEY,Beirut Rafik Hariri International,LB,BEY,Airport,35.4883,33.8208
118,BFF,Scottsbluff,US,BFF,Airport,-103.5956,41.8742
119,BFL,Bakersfield,US,BFL,Airport,-119.0567,35.4336
120,MOB,Mobile - Aerospace,US,BFM,Airport,-88.0667,30.6333
121,BFN,Bloemfontein,ZA,BFN,Airport,26.3025,-29.0928
122,BGA,Bucaramanga,CO,BGA,Airport,-73.1847,7.1264
123,BGF,Bangui,CF,BGF,Airport,18.52,4.3978
124,BGG,BINGOL,TR,BGG,Airport,40.5925,38.8614
125,BGI,Barbados (Bridgetown) - Adams International,BB,BGI,Airport,-59.4925,13.0747
126,BGO,Bergen,NO,BGO,Airport,5.2181,60.2933
127,BGR,Bangor International,US,BGR,Airport,-68.8281,44.8075
128,BGW,Baghdad International,IQ,BGW,Airport,44.2344,33.2625
129,MIL,Milano Orio - Bergamo,IT,BGY,Airport,9.7003,45.6689
130,BFS,Belfast City,GB,BHD,Airport,-5.8725,54.6181
131,BHE,BLENHEIM,NZ,BHE,Airport,173.8692,-41.5178
132,BHI,Bahia Blanca,AR,BHI,Airport,-62.1533,-38.7272
133,BHM,"Birmingham, AL",US,BHM,Airport,-86.7536,33.5631
134,BHO,Bhopal,IN,BHO,Airport,77.3375,23.2875
135,BHX,Birmingham International,GB,BHX,Airport,-1.7478,52.4536
136,BHY,Beihai,CN,BHY,Airport,109.2939,21.5394
137,BIA,Bastia,FR,BIA,Airport,9.4847,42.55
138,BIL,"Billings, MT",US,BIL,Airport,-108.5428,45.8078
139,BIO,Bilbao,ES,BIO,Airport,-2.9106,43.3011
140,BIQ,Biarritz,FR,BIQ,Airport,-1.5311,43.4683
141,BIS,Bismarck,US,BIS,Airport,-100.7458,46.7722
142,BJL,Banjul - Yundum International,GM,BJL,Airport,-16.6522,13.3381
143,BJM,Bujumbura International,BI,BJM,Airport,29.3186,-3.3239
144,BJR,Bahar Dar,ET,BJR,Airport,37.3217,11.6081
145,BXN,Bodrum - Milas Airport,TR,BJV,Airport,27.6644,37.2506
146,BJX,Leon-Guanajuato - Del Bajio,MX,BJX,Airport,-101.4808,20.9933
147,BKI,Kota Kinabalu,MY,BKI,Airport,116.0531,5.9372
148,BKK,Bangkok - Suvarnabhumi Int'l,TH,BKK,Airport,100.7489,13.6858
149,BKO,Bamako,ML,BKO,Airport,-7.95,12.5336
150,BLA,Barcelona,VE,BLA,Airport,-64.6892,10.1072
151,BLL,Billund,DK,BLL,Airport,9.1517,55.7403
152,BLQ,Bologna,IT,BLQ,Airport,11.2969,44.5308
153,BLR,Bengaluru/Bangalore International,IN,BLR,Airport,77.7056,13.1989
154,BLZ,Blantyre,MW,BLZ,Airport,34.9739,-15.6792
155,STO,STOCKHOLM BROMMA APT,SE,BMA,Airport,17.9417,59.3544
156,BNA,"Nashville, TN",US,BNA,Airport,-86.6783,36.1244
157,BNE,Brisbane International,AU,BNE,Airport,153.1175,-27.3842
158,BOD,Bordeaux,FR,BOD,Airport,-0.7153,44.8286
159,BOG,Bogotá,CO,BOG,Airport,-74.1469,4.7017
160,BOI,"Boise, ID",US,BOI,Airport,-116.2228,43.5644
161,BOJ,Burgas,BG,BOJ,Airport,27.5153,42.5697
162,BOM,Mumbai - Chhatrapati Shivaji Intl. Airport,IN,BOM,Airport,72.8681,19.0886
163,BOO,Bodo,NO,BOO,Airport,14.3653,67.2692
164,BOS,"Boston - Logan International, MA",US,BOS,Airport,-71.0053,42.3644
165,BPN,Balikpapan,ID,BPN,Airport,116.8944,-1.2683
166,BPS,Porto Seguro,BR,BPS,Airport,-39.0808,-16.4386
167,BPT,Beaumont - Jefferson County,US,BPT,Airport,-94.0208,29.9508
168,BQH,London Biggin Hill Apt,GB,BQH,Airport,0.0322,51.3308
169,BQN,AGUADILLA RAFAEL HERNANDEZ,PR,BQN,Airport,-67.1294,18.495
170,BRC,San Carlos De Bariloche International,AR,BRC,Airport,-71.1578,-41.1511
171,BRE,Bremen,DE,BRE,Airport,8.7867,53.0475
172,BRI,Bari,IT,BRI,Airport,16.765,41.1381
173,BRM,Barquisimeto,VE,BRM,Airport,-69.3586,10.0428
174,BRN,Berne - Belp,CH,BRN,Airport,7.4972,46.9142
175,BRO,Brownsville - S. Padre Island International,US,BRO,Airport,-97.4258,25.9069
176,BRQ,Brno,CZ,BRQ,Airport,16.6944,49.1514
177,BRS,Bristol,GB,BRS,Airport,-2.7189,51.3825
178,BRU,Brussels - Airport,BE,BRU,Airport,4.4844,50.9014
